masked.ip.id,age,gender,ethnicity,hispanic,SubjectId,Captcha1,Captcha2,Consent,UseData,BlackSuspect,RaceCheck,GenderCheck,WeaponCheck,PrintCheck,WhiteSuspect,RaceCheck_w,GenderCheck_w,WeaponCheck_w,PrintCheck_w,Masculine_1,Masculine_2,Masculine_3,Masculine_4,Masculine_5,Feminine_7,Feminine_8,Feminine_9,Feminine_10,SuspectPain_1,SuspectPain_2,SuspectPain_3,SuspectFault_1,SuspectFault_2,SuspectFault_3,OfficerFault_1,OfficerFault_2,OfficerFault_3,BeneSexism_1,BeneSexism_2,BeneSexism_3,BeneSexism_4,BeneSexism_5,HostSexism_1,HostSexism_2,HostSexism_3,HostSexism_4,HostSexism_5,HostSexism_6
245,20,1,1,1,8815,1,BLUE,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
246,68,1,1,1,6440,1,CAP,1,1,NA,NA,NA,NA,NA,1,1,1,1,1,25,75,75,70,50,60,60,70,50,25,10,5,100,95,75,100,0,0,6,6,6,6,6,6,6,6,1,1,6
247,40,2,2,1,3420,1,Cap,1,1,NA,NA,NA,NA,NA,1,1,1,1,1,80,97,64,87,76,10,41,40,14,78,80,62,72,73,74,30,30,44,6,3,6,4,5,3,2,1,1,1,2
248,56,2,1,2,4568,1,CAP,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,60,60,60,60,50,20,75,50,21,20,80,20,60,60,50,60,60,60,4,2,3,2,4,2,2,1,2,1,1
249,18,1,2,1,5759,1,cap,1,1,NA,NA,NA,NA,NA,1,1,1,1,1,54,70,41,54,55,15,14,14,14,35,51,63,70,61,80,60,50,40,4,4,3,3,4,1,1,1,1,1,1
250,51,2,1,1,2406,1,CAP,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,45,49,48,36,13,9,8,9,9,37,35,33,41,36,22,29,37,21,2,1,2,5,3,1,2,1,1,2,2
251,33,NA,NA,NA,6137,1,CAP,1,1,1,1,1,0,1,NA,NA,NA,NA,NA,72,62,28,54,44,39,47,41,42,61,43,58,64,60,77,65,45,58,5,4,5,5,5,3,4,5,4,5,4
252,19,2,1,2,7772,1,CAP,1,1,NA,NA,NA,NA,NA,1,1,1,1,1,67,85,89,47,71,30,63,42,60,44,80,70,54,69,39,62,54,46,3,6,5,3,6,5,4,1,3,2,1
253,79,2,1,1,9612,1,CAP,1,1,NA,NA,NA,NA,NA,1,1,1,1,1,81,94,NA,75,78,2,6,4,9,90,92,40,96,94,100,NA,NA,5,5,2,6,5,5,6,5,5,4,1,4
254,NA,NA,NA,NA,9539,NA,,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
254,NA,NA,NA,NA,7997,NA,,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
255,30,2,1,2,2338,1,CAP,1,1,1,1,1,0,1,NA,NA,NA,NA,NA,79,85,95,59,71,91,79,78,65,75,65,87,65,76,61,61,55,71,1,2,4,4,2,3,3,4,5,3,2
